OTU	CIMDEC_plaque_1_B25	CIMDEC_plaque_1_B8	CIMDEC_plaque_1_B5	CIMDEC_plaque_1_B6	CIMDEC_plaque_1_B1	CIMDEC_plaque_1_B3	CIMDEC_plaque_1_B27	CIMDEC_plaque_1_B9	CIMDEC_plaque_1_B11	CIMDEC_plaque_1_B2	CIMDEC_plaque_1_B7	CIMDEC_plaque_1_B10	CIMDEC_plaque_1_B4	CIMDEC_plaque_1_B31	CIMDEC_plaque_1_B12	CIMDEC_plaque_1_B29
MH858111.1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MG747467.1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MH231815.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ427003.1	2	0	0	0	0	0	0	12	0	0	0	0	0	1	0	0
KT389511.1	4	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0
MH554112.1	3	0	0	0	0	0	0	22	0	0	0	0	0	1	0	0
MG975777.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF444407.1	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0
KP814376.1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
MK047439.1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MW016403.1	1	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0
MN172414.1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KP170657.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KY085926.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KR909429.1	6	0	0	0	0	0	3	26	0	0	0	0	0	4	0	0
GQ303294.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MK478468.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MT741707.1	1	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0
KU712439.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KF730818.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HF548705.1	1	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0
MH414905.1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MH321794.1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
KX986764.1	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
MK953352.1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
MH327805.1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
KC343008.1	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0
KM231748.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN562147.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB926073.1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MK432798.1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF141163.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ357317.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MK069419.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MH595928.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MK794327.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EF512470.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KU821458.1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
MN244198.1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1
AY364838.1	1	0	0	0	0	0	0	5	0	0	0	2	0	2	0	0
FJ426989.1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
KF251261.1	2	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
ON130635.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KU728517.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KX228270.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN973459.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KP896056.1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
AF178393.1	1	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0
MN688823.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KC343164.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MH862427.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MH753702.1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
MW793963.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
EU153512.1	0	20	0	0	0	0	0	0	0	0	0	0	0	2	0	0
MK809454.1	0	10	0	0	0	1	0	0	0	0	0	2	2	3	0	1261
AB871751.1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MT462296.1	0	17	0	0	1	0	0	0	0	0	0	0	0	0	0	285
KU850565.1	0	1	0	3	0	1	2	0	2	2	0	2	4	2	1	1886
KC848278.1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
JX310445.1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	471
JQ948457.1	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0
HQ435870.1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0
MK733257.1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
MT385947.1	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ780364.1	0	0	1	1	2	3	0	0	0	1	1	0	7107	999	1	0
FR748036.1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OL614712.1	0	0	1	0	0	0	0	0	0	0	0	0	671	66	0	0
MH305526.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
KR870853.1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0
EU167597.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MK539998.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	515
MN784447.1	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	473
KF251253.1	0	0	0	1	0	0	0	1	0	0	0	0	197	18	0	0
JQ936290.1	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	32
